Category,Artist,Song,AlbumArtURL
Pop / R&B,David Bowie,Space Oddity,https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/fc/65/98/fc6598f9-706b-48a2-dc37-9854f703b21e/dj.xnockfyi.jpg/600x600bb.jpg
Pop / R&B,Destiny’s Child,Say My Name,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c9/29/74/c92974ce-2bdd-4b86-a261-01adc901bb65/mzi.cmambura.jpg/600x600bb.jpg
Pop / R&B,Destiny’s Child,Survivor,https://is1-ssl.mzstatic.com/image/thumb/Music/67/1c/f9/mzi.giffxgjz.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,9 - 5,https://is1-ssl.mzstatic.com/image/thumb/Music/37/fa/d1/mzi.ecmonpil.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,Coat Of Many Colors,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/9b/1d/11/9b1d1141-2332-5100-822a-0cd571ebffd6/dj.zuericqk.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,Dumb Blonde,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/48/92/3e/48923e01-5ddf-6467-eefe-9c5526d8f363/886445438017.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,Here You Come Again,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/01/0c/75/010c75b5-ac46-382c-5862-33679d13dc65/886445438932.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,Island In The Stream,https://is1-ssl.mzstatic.com/image/thumb/Music/37/fa/d1/mzi.ecmonpil.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,I Will Always Love You,https://is1-ssl.mzstatic.com/image/thumb/Music/37/fa/d1/mzi.ecmonpil.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,Jolene,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/0b/f8/1e/0bf81e88-de6e-aba3-9fd4-e7407bfbcc31/886445438048.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,Just Because I’m A Woman,https://is1-ssl.mzstatic.com/image/thumb/Music/45/05/2f/mzi.xysaydrw.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,Light Of A Clear Blue Morning,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/4b/59/16/4b591687-42ba-23a3-11c3-5f5ed27af234/198704939532_Cover.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,Love Is Like A Butterfly,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/02/bc/d9/02bcd96f-3e9d-0714-0e97-f9d9baed5b79/886444474191.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,My Tennessee Mountain Home,https://is1-ssl.mzstatic.com/image/thumb/Music42/v4/8e/28/61/8e2861bd-1c28-173b-17fd-3efb2b88e204/886446002972.jpg/600x600bb.jpg
Pop / R&B,Dolly Parton,Potential New Boyfriend,https://is1-ssl.mzstatic.com/image/thumb/Music/d9/e4/fd/mzi.usakqwfq.jpg/600x600bb.jpg
